Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
TCEB1_TP53	KIRC	WOSecondM	1	63	1	373
TCEB1_KIF1A	KIRC	WithSecondM	1	3	1	3
TCEB1_KIF1A	KIRC	WOSecondM	1	63	1	378
TCEB1_PTEN	KIRC	WithSecondM	1	4	1	10
TCEB1_PTEN	KIRC	WOSecondM	1	62	1	371
TCEB1_PIK3CA	KIRC	WithSecondM	1	2	1	4
TCEB1_PIK3CA	KIRC	WOSecondM	1	64	1	377
TCEB1_ATM	KIRC	WithSecondM	1	2	1	8
TCEB1_ATM	KIRC	WOSecondM	1	64	1	373
TCEB1_VHL	KIRC	WithSecondM	1	25	1	121
TCEB1_VHL	KIRC	WOSecondM	1	41	1	260
TCEB1_MTOR	KIRC	WithSecondM	1	5	1	18
TCEB1_MTOR	KIRC	WOSecondM	1	61	1	363
TCEB1_PBRM1	KIRC	WithSecondM	1	16	1	101
TCEB1_PBRM1	KIRC	WOSecondM	1	50	1	280
TCEB1_BAP1	KIRC	WithSecondM	1	9	1	26
TCEB1_BAP1	KIRC	WOSecondM	1	57	1	355
TCEB1_SETD2	KIRC	WithSecondM	1	11	1	33
TCEB1_SETD2	KIRC	WOSecondM	1	55	1	348
TCEB1_KDM5C	KIRC	WithSecondM	1	5	1	12
TCEB1_KDM5C	KIRC	WOSecondM	1	61	1	369
ATM_TP53	KIRC	WithSecondM	1	3	1	9
ATM_TP53	KIRC	WOSecondM	1	30	10	432
ATM_KIF1A	KIRC	WithSecondM	1	1	2	5
ATM_KIF1A	KIRC	WOSecondM	1	32	9	436
ATM_PTEN	KIRC	WithSecondM	1	1	1	11
ATM_PTEN	KIRC	WOSecondM	1	32	10	430
ATM_PIK3CA	KIRC	WithSecondM	1	1	1	7
ATM_PIK3CA	KIRC	WOSecondM	1	32	10	434
ATM_TCEB1	KIRC	WithSecondM	1	1	1	3
ATM_TCEB1	KIRC	WOSecondM	1	32	10	438
ATM_VHL	KIRC	WithSecondM	1	8	6	143
ATM_VHL	KIRC	WOSecondM	1	25	5	298
ATM_MTOR	KIRC	WithSecondM	1	6	1	19
ATM_MTOR	KIRC	WOSecondM	1	27	10	422
ATM_PBRM1	KIRC	WithSecondM	1	9	4	113
ATM_PBRM1	KIRC	WOSecondM	1	24	7	328
ATM_BAP1	KIRC	WithSecondM	1	2	3	28
ATM_BAP1	KIRC	WOSecondM	1	31	8	413
ATM_SETD2	KIRC	WithSecondM	1	5	1	38
ATM_SETD2	KIRC	WOSecondM	1	28	10	403
ATM_KDM5C	KIRC	WithSecondM	1	1	1	15
ATM_KDM5C	KIRC	WOSecondM	1	32	10	426
VHL_TP53	KIRC	WithSecondM	1	3	1	3
VHL_TP53	KIRC	WOSecondM	1	6	9	46
VHL_KIF1A	KIRC	WithSecondM	1	1	1	2
VHL_KIF1A	KIRC	WOSecondM	1	8	9	47
VHL_PTEN	KIRC	WithSecondM	1	1	2	2
VHL_PTEN	KIRC	WOSecondM	1	8	8	47
VHL_PIK3CA	KIRC	WithSecondM	1	1	1	1
VHL_PIK3CA	KIRC	WOSecondM	1	8	9	48
VHL_TCEB1	KIRC	WithSecondM	1	1	1	2
VHL_TCEB1	KIRC	WOSecondM	1	8	9	47
VHL_ATM	KIRC	WithSecondM	1	1	1	1
VHL_ATM	KIRC	WOSecondM	1	8	9	48
VHL_MTOR	KIRC	WithSecondM	1	1	1	2
VHL_MTOR	KIRC	WOSecondM	1	8	9	47
VHL_PBRM1	KIRC	WithSecondM	1	1	1	1
VHL_PBRM1	KIRC	WOSecondM	1	8	9	48
VHL_BAP1	KIRC	WithSecondM	1	1	1	1
VHL_BAP1	KIRC	WOSecondM	1	8	9	48
VHL_SETD2	KIRC	WithSecondM	1	1	1	1
VHL_SETD2	KIRC	WOSecondM	1	8	9	48
VHL_KDM5C	KIRC	WithSecondM	1	1	1	1
VHL_KDM5C	KIRC	WOSecondM	1	8	9	48
MTOR_TP53	KIRC	WithSecondM	1	1	2	7
MTOR_TP53	KIRC	WOSecondM	2	8	15	381
MTOR_KIF1A	KIRC	WithSecondM	1	1	2	4
MTOR_KIF1A	KIRC	WOSecondM	2	8	15	384
MTOR_PTEN	KIRC	WithSecondM	1	1	2	9
MTOR_PTEN	KIRC	WOSecondM	2	8	15	379
MTOR_PIK3CA	KIRC	WithSecondM	1	1	1	5
MTOR_PIK3CA	KIRC	WOSecondM	2	8	16	383
MTOR_TCEB1	KIRC	WithSecondM	1	1	1	2
MTOR_TCEB1	KIRC	WOSecondM	2	8	16	386
MTOR_ATM	KIRC	WithSecondM	1	1	1	9
MTOR_ATM	KIRC	WOSecondM	2	8	16	379
MTOR_VHL	KIRC	WithSecondM	2	2	8	126
MTOR_VHL	KIRC	WOSecondM	1	7	9	262
MTOR_PBRM1	KIRC	WithSecondM	1	3	9	103
MTOR_PBRM1	KIRC	WOSecondM	2	6	8	285
MTOR_BAP1	KIRC	WithSecondM	1	2	2	20
MTOR_BAP1	KIRC	WOSecondM	2	7	15	368
MTOR_SETD2	KIRC	WithSecondM	1	1	1	38
MTOR_SETD2	KIRC	WOSecondM	2	8	16	350
MTOR_KDM5C	KIRC	WithSecondM	1	3	1	14
MTOR_KDM5C	KIRC	WOSecondM	2	6	16	374
PBRM1_TP53	KIRC	WithSecondM	1	2	1	4
PBRM1_TP53	KIRC	WOSecondM	1	6	2	52
PBRM1_KIF1A	KIRC	WithSecondM	1	1	1	2
PBRM1_KIF1A	KIRC	WOSecondM	1	7	2	54
PBRM1_PTEN	KIRC	WithSecondM	1	1	2	3
PBRM1_PTEN	KIRC	WOSecondM	1	7	1	53
PBRM1_PIK3CA	KIRC	WithSecondM	1	1	1	1
PBRM1_PIK3CA	KIRC	WOSecondM	1	7	2	55
PBRM1_TCEB1	KIRC	WithSecondM	1	1	1	2
PBRM1_TCEB1	KIRC	WOSecondM	1	7	2	54
PBRM1_ATM	KIRC	WithSecondM	1	1	1	1
PBRM1_ATM	KIRC	WOSecondM	1	7	2	55
PBRM1_VHL	KIRC	WithSecondM	1	1	1	11
PBRM1_VHL	KIRC	WOSecondM	1	7	2	45
PBRM1_MTOR	KIRC	WithSecondM	1	1	1	3
PBRM1_MTOR	KIRC	WOSecondM	1	7	2	53
PBRM1_BAP1	KIRC	WithSecondM	1	1	1	1
PBRM1_BAP1	KIRC	WOSecondM	1	7	2	55
PBRM1_SETD2	KIRC	WithSecondM	1	1	2	1
PBRM1_SETD2	KIRC	WOSecondM	1	7	1	55
PBRM1_KDM5C	KIRC	WithSecondM	1	1	1	1
PBRM1_KDM5C	KIRC	WOSecondM	1	7	2	55
BAP1_TP53	KIRC	WithSecondM	1	2	1	4
BAP1_TP53	KIRC	WOSecondM	1	6	1	54
BAP1_KIF1A	KIRC	WithSecondM	1	1	1	2
BAP1_KIF1A	KIRC	WOSecondM	1	7	1	56
BAP1_PTEN	KIRC	WithSecondM	1	1	1	4
BAP1_PTEN	KIRC	WOSecondM	1	7	1	54
BAP1_PIK3CA	KIRC	WithSecondM	1	1	1	1
BAP1_PIK3CA	KIRC	WOSecondM	1	7	1	57
BAP1_TCEB1	KIRC	WithSecondM	1	1	1	2
BAP1_TCEB1	KIRC	WOSecondM	1	7	1	56
BAP1_ATM	KIRC	WithSecondM	1	1	1	1
BAP1_ATM	KIRC	WOSecondM	1	7	1	57
BAP1_VHL	KIRC	WithSecondM	1	1	1	12
BAP1_VHL	KIRC	WOSecondM	1	7	1	46
BAP1_MTOR	KIRC	WithSecondM	1	1	1	3
BAP1_MTOR	KIRC	WOSecondM	1	7	1	55
BAP1_PBRM1	KIRC	WithSecondM	1	1	1	2
BAP1_PBRM1	KIRC	WOSecondM	1	7	1	56
BAP1_SETD2	KIRC	WithSecondM	1	1	1	2
BAP1_SETD2	KIRC	WOSecondM	1	7	1	56
BAP1_KDM5C	KIRC	WithSecondM	1	1	1	1
BAP1_KDM5C	KIRC	WOSecondM	1	7	1	57
SETD2_TP53	KIRC	WithSecondM	1	2	1	4
SETD2_TP53	KIRC	WOSecondM	1	6	1	52
SETD2_KIF1A	KIRC	WithSecondM	1	1	1	2
SETD2_KIF1A	KIRC	WOSecondM	1	7	1	54
SETD2_PTEN	KIRC	WithSecondM	1	1	1	3
SETD2_PTEN	KIRC	WOSecondM	1	7	1	53
SETD2_PIK3CA	KIRC	WithSecondM	1	1	1	1
SETD2_PIK3CA	KIRC	WOSecondM	1	7	1	55
SETD2_TCEB1	KIRC	WithSecondM	1	1	1	2
SETD2_TCEB1	KIRC	WOSecondM	1	7	1	54
SETD2_ATM	KIRC	WithSecondM	1	1	1	1
SETD2_ATM	KIRC	WOSecondM	1	7	1	55
SETD2_VHL	KIRC	WithSecondM	1	1	1	12
SETD2_VHL	KIRC	WOSecondM	1	7	1	44
SETD2_MTOR	KIRC	WithSecondM	1	1	1	3
SETD2_MTOR	KIRC	WOSecondM	1	7	1	53
SETD2_PBRM1	KIRC	WithSecondM	1	1	1	1
SETD2_PBRM1	KIRC	WOSecondM	1	7	1	55
SETD2_BAP1	KIRC	WithSecondM	1	1	1	2
SETD2_BAP1	KIRC	WOSecondM	1	7	1	54
SETD2_KDM5C	KIRC	WithSecondM	1	1	1	1
SETD2_KDM5C	KIRC	WOSecondM	1	7	1	55
KDM5C_TP53	KIRC	WithSecondM	1	2	1	6
KDM5C_TP53	KIRC	WOSecondM	1	28	17	410
KDM5C_KIF1A	KIRC	WithSecondM	1	2	1	5
KDM5C_KIF1A	KIRC	WOSecondM	1	28	17	411
KDM5C_PTEN	KIRC	WithSecondM	1	1	2	10
KDM5C_PTEN	KIRC	WOSecondM	1	29	16	406
KDM5C_PIK3CA	KIRC	WithSecondM	1	1	1	6
KDM5C_PIK3CA	KIRC	WOSecondM	1	29	17	410
KDM5C_TCEB1	KIRC	WithSecondM	1	1	1	3
KDM5C_TCEB1	KIRC	WOSecondM	1	29	17	413
KDM5C_ATM	KIRC	WithSecondM	1	1	1	10
KDM5C_ATM	KIRC	WOSecondM	1	29	17	406
KDM5C_VHL	KIRC	WithSecondM	1	9	7	130
KDM5C_VHL	KIRC	WOSecondM	1	21	11	286
KDM5C_MTOR	KIRC	WithSecondM	1	3	1	20
KDM5C_MTOR	KIRC	WOSecondM	1	27	17	396
KDM5C_PBRM1	KIRC	WithSecondM	1	6	10	106
KDM5C_PBRM1	KIRC	WOSecondM	1	24	8	310
KDM5C_BAP1	KIRC	WithSecondM	1	1	1	31
KDM5C_BAP1	KIRC	WOSecondM	1	29	17	385
KDM5C_SETD2	KIRC	WithSecondM	1	4	2	37
KDM5C_SETD2	KIRC	WOSecondM	1	26	16	379
