Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
HLA-A_HRAS	HNSC	WOSecondM	3	84	6	309
HLA-A_FBXW7	HNSC	WithSecondM	1	3	1	24
HLA-A_FBXW7	HNSC	WOSecondM	3	85	11	308
HLA-A_TGFBR2	HNSC	WithSecondM	1	2	4	12
HLA-A_TGFBR2	HNSC	WOSecondM	3	86	8	320
HLA-A_CDKN2A	HNSC	WithSecondM	1	15	4	66
HLA-A_CDKN2A	HNSC	WOSecondM	3	73	8	266
HLA-A_KMT2D	HNSC	WithSecondM	2	10	1	34
HLA-A_KMT2D	HNSC	WOSecondM	2	78	11	298
HLA-A_ARID2	HNSC	WithSecondM	1	1	3	7
HLA-A_ARID2	HNSC	WOSecondM	3	87	9	325
HLA-A_ZNF750	HNSC	WithSecondM	2	2	1	9
HLA-A_ZNF750	HNSC	WOSecondM	2	86	11	323
HLA-A_RHOA	HNSC	WithSecondM	1	2	1	7
HLA-A_RHOA	HNSC	WOSecondM	3	86	11	325
HLA-A_EP300	HNSC	WithSecondM	1	7	4	18
HLA-A_EP300	HNSC	WOSecondM	3	81	8	314
HLA-A_RASA1	HNSC	WithSecondM	1	3	1	8
HLA-A_RASA1	HNSC	WOSecondM	3	85	11	324
HLA-A_TP53	HNSC	WithSecondM	3	66	6	209
HLA-A_TP53	HNSC	WOSecondM	1	22	6	123
HLA-A_NOTCH1	HNSC	WithSecondM	1	8	3	47
HLA-A_NOTCH1	HNSC	WOSecondM	3	80	9	285
HLA-A_CASP8	HNSC	WithSecondM	1	6	6	30
HLA-A_CASP8	HNSC	WOSecondM	3	82	6	302
HLA-A_PTEN	HNSC	WithSecondM	1	3	1	9
HLA-A_PTEN	HNSC	WOSecondM	3	85	11	323
HLA-A_FAT1	HNSC	WithSecondM	1	14	8	68
HLA-A_FAT1	HNSC	WOSecondM	3	74	4	264
HLA-A_CYLD	HNSC	WithSecondM	1	1	1	6
HLA-A_CYLD	HNSC	WOSecondM	3	87	11	326
