Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
KMT2D_ZNF750	ESCA	WithSecondM	1	3	2	6
KMT2D_ZNF750	ESCA	WOSecondM	2	33	9	82
KMT2D_PIK3CA	ESCA	WithSecondM	1	4	3	9
KMT2D_PIK3CA	ESCA	WOSecondM	2	32	8	79
KMT2D_NSD1	ESCA	WithSecondM	1	2	4	2
KMT2D_NSD1	ESCA	WOSecondM	2	34	7	86
KMT2D_PTCH1	ESCA	WithSecondM	1	3	3	2
KMT2D_PTCH1	ESCA	WOSecondM	2	33	8	86
KMT2D_FBXW7	ESCA	WithSecondM	1	2	1	7
KMT2D_FBXW7	ESCA	WOSecondM	2	34	10	81
SMAD4_ERBB2	ESCA	WithSecondM	2	7	1	1
SMAD4_ERBB2	ESCA	WOSecondM	9	87	1	36
SMAD4_CDKN2A	ESCA	WithSecondM	2	10	1	1
SMAD4_CDKN2A	ESCA	WOSecondM	9	84	1	36
SMAD4_TP53	ESCA	WithSecondM	8	85	1	30
SMAD4_TP53	ESCA	WOSecondM	3	9	1	7
SMAD4_KMT2D	ESCA	WithSecondM	2	10	1	8
SMAD4_KMT2D	ESCA	WOSecondM	9	84	1	29
SMAD4_NFE2L2	ESCA	WithSecondM	1	11	1	7
SMAD4_NFE2L2	ESCA	WOSecondM	10	83	1	30
SMAD4_ARID1A	ESCA	WithSecondM	2	9	1	2
SMAD4_ARID1A	ESCA	WOSecondM	9	85	1	35
SMAD4_NOTCH1	ESCA	WithSecondM	2	8	1	6
SMAD4_NOTCH1	ESCA	WOSecondM	9	86	1	31
SMAD4_ZNF750	ESCA	WithSecondM	1	7	1	5
SMAD4_ZNF750	ESCA	WOSecondM	10	87	1	32
SMAD4_PIK3CA	ESCA	WithSecondM	2	6	1	9
SMAD4_PIK3CA	ESCA	WOSecondM	9	88	1	28
SMAD4_NSD1	ESCA	WithSecondM	1	5	1	3
SMAD4_NSD1	ESCA	WOSecondM	10	89	1	34
SMAD4_PTCH1	ESCA	WithSecondM	1	5	1	2
SMAD4_PTCH1	ESCA	WOSecondM	10	89	1	35
SMAD4_FBXW7	ESCA	WithSecondM	2	4	1	3
SMAD4_FBXW7	ESCA	WOSecondM	9	90	1	34
NFE2L2_ERBB2	ESCA	WithSecondM	1	2	1	4
NFE2L2_ERBB2	ESCA	WOSecondM	3	17	11	80
NFE2L2_CDKN2A	ESCA	WithSecondM	1	2	1	11
NFE2L2_CDKN2A	ESCA	WOSecondM	3	17	11	73
NFE2L2_TP53	ESCA	WithSecondM	3	17	11	70
NFE2L2_TP53	ESCA	WOSecondM	1	2	1	14
NFE2L2_KMT2D	ESCA	WithSecondM	2	1	3	8
NFE2L2_KMT2D	ESCA	WOSecondM	2	18	9	76
NFE2L2_SMAD4	ESCA	WithSecondM	1	2	1	7
NFE2L2_SMAD4	ESCA	WOSecondM	3	17	11	77
NFE2L2_ARID1A	ESCA	WithSecondM	1	1	2	9
NFE2L2_ARID1A	ESCA	WOSecondM	3	18	10	75
NFE2L2_NOTCH1	ESCA	WithSecondM	1	3	2	4
NFE2L2_NOTCH1	ESCA	WOSecondM	3	16	10	80
NFE2L2_ZNF750	ESCA	WithSecondM	1	4	1	7
NFE2L2_ZNF750	ESCA	WOSecondM	3	15	11	77
NFE2L2_PIK3CA	ESCA	WithSecondM	1	2	2	11
NFE2L2_PIK3CA	ESCA	WOSecondM	3	17	10	73
NFE2L2_NSD1	ESCA	WithSecondM	1	1	2	3
NFE2L2_NSD1	ESCA	WOSecondM	3	18	10	81
NFE2L2_PTCH1	ESCA	WithSecondM	1	1	2	2
NFE2L2_PTCH1	ESCA	WOSecondM	3	18	10	82
NFE2L2_FBXW7	ESCA	WithSecondM	1	2	2	4
NFE2L2_FBXW7	ESCA	WOSecondM	3	17	10	80
ARID1A_ERBB2	ESCA	WithSecondM	2	6	1	2
ARID1A_ERBB2	ESCA	WOSecondM	6	57	5	77
ARID1A_CDKN2A	ESCA	WithSecondM	2	6	1	9
ARID1A_CDKN2A	ESCA	WOSecondM	6	57	5	70
ARID1A_TP53	ESCA	WithSecondM	7	57	3	68
ARID1A_TP53	ESCA	WOSecondM	1	6	3	11
ARID1A_KMT2D	ESCA	WithSecondM	1	4	2	14
ARID1A_KMT2D	ESCA	WOSecondM	7	59	4	65
ARID1A_SMAD4	ESCA	WithSecondM	2	7	1	4
ARID1A_SMAD4	ESCA	WOSecondM	6	56	5	75
ARID1A_NFE2L2	ESCA	WithSecondM	2	11	1	6
ARID1A_NFE2L2	ESCA	WOSecondM	6	52	5	73
ARID1A_NOTCH1	ESCA	WithSecondM	1	5	1	10
ARID1A_NOTCH1	ESCA	WOSecondM	7	58	5	69
ARID1A_ZNF750	ESCA	WithSecondM	1	2	1	10
ARID1A_ZNF750	ESCA	WOSecondM	7	61	5	69
ARID1A_PIK3CA	ESCA	WithSecondM	1	10	1	8
ARID1A_PIK3CA	ESCA	WOSecondM	7	53	5	71
ARID1A_NSD1	ESCA	WithSecondM	1	1	2	6
ARID1A_NSD1	ESCA	WOSecondM	7	62	4	73
ARID1A_PTCH1	ESCA	WithSecondM	1	4	1	2
ARID1A_PTCH1	ESCA	WOSecondM	7	59	5	77
ARID1A_FBXW7	ESCA	WithSecondM	2	2	1	6
ARID1A_FBXW7	ESCA	WOSecondM	6	61	5	73
NOTCH1_ERBB2	ESCA	WithSecondM	1	3	1	3
NOTCH1_ERBB2	ESCA	WOSecondM	4	42	4	59
NOTCH1_CDKN2A	ESCA	WithSecondM	1	3	1	6
NOTCH1_CDKN2A	ESCA	WOSecondM	4	42	4	56
NOTCH1_TP53	ESCA	WithSecondM	4	39	2	51
NOTCH1_TP53	ESCA	WOSecondM	1	6	3	11
NOTCH1_KMT2D	ESCA	WithSecondM	2	5	3	8
NOTCH1_KMT2D	ESCA	WOSecondM	3	40	2	54
NOTCH1_SMAD4	ESCA	WithSecondM	1	2	2	6
NOTCH1_SMAD4	ESCA	WOSecondM	4	43	3	56
NOTCH1_NFE2L2	ESCA	WithSecondM	1	5	1	5
NOTCH1_NFE2L2	ESCA	WOSecondM	4	40	4	57
NOTCH1_ARID1A	ESCA	WithSecondM	1	1	1	10
NOTCH1_ARID1A	ESCA	WOSecondM	4	44	4	52
NOTCH1_ZNF750	ESCA	WithSecondM	1	8	1	2
NOTCH1_ZNF750	ESCA	WOSecondM	4	37	4	60
NOTCH1_PIK3CA	ESCA	WithSecondM	1	6	2	5
NOTCH1_PIK3CA	ESCA	WOSecondM	4	39	3	57
NOTCH1_NSD1	ESCA	WithSecondM	1	2	3	4
NOTCH1_NSD1	ESCA	WOSecondM	4	43	2	58
NOTCH1_PTCH1	ESCA	WithSecondM	1	2	1	3
NOTCH1_PTCH1	ESCA	WOSecondM	4	43	4	59
NOTCH1_FBXW7	ESCA	WithSecondM	1	2	2	6
NOTCH1_FBXW7	ESCA	WOSecondM	4	43	3	56
ZNF750_ERBB2	ESCA	WithSecondM	1	3	1	4
ZNF750_ERBB2	ESCA	WOSecondM	6	31	6	72
ZNF750_CDKN2A	ESCA	WithSecondM	1	2	1	8
ZNF750_CDKN2A	ESCA	WOSecondM	6	32	6	68
ZNF750_TP53	ESCA	WithSecondM	6	28	6	65
ZNF750_TP53	ESCA	WOSecondM	1	6	1	11
ZNF750_KMT2D	ESCA	WithSecondM	2	1	2	9
ZNF750_KMT2D	ESCA	WOSecondM	5	33	5	67
ZNF750_SMAD4	ESCA	WithSecondM	1	5	1	5
ZNF750_SMAD4	ESCA	WOSecondM	6	29	6	71
ZNF750_NFE2L2	ESCA	WithSecondM	1	5	2	5
ZNF750_NFE2L2	ESCA	WOSecondM	6	29	5	71
ZNF750_ARID1A	ESCA	WithSecondM	1	3	1	7
ZNF750_ARID1A	ESCA	WOSecondM	6	31	6	69
ZNF750_NOTCH1	ESCA	WithSecondM	1	4	1	4
ZNF750_NOTCH1	ESCA	WOSecondM	6	30	6	72
ZNF750_PIK3CA	ESCA	WithSecondM	1	5	1	9
ZNF750_PIK3CA	ESCA	WOSecondM	6	29	6	67
ZNF750_NSD1	ESCA	WithSecondM	1	2	1	4
ZNF750_NSD1	ESCA	WOSecondM	6	32	6	72
ZNF750_PTCH1	ESCA	WithSecondM	1	1	1	2
ZNF750_PTCH1	ESCA	WOSecondM	6	33	6	74
ZNF750_FBXW7	ESCA	WithSecondM	1	4	1	6
ZNF750_FBXW7	ESCA	WOSecondM	6	30	6	70
PIK3CA_ERBB2	ESCA	WithSecondM	1	2	1	2
PIK3CA_ERBB2	ESCA	WOSecondM	1	11	7	39
