Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
SPOP_KMT2D	PRAD	WOSecondM	1	18	44	303
SPOP_PIK3CA	PRAD	WithSecondM	1	1	2	5
SPOP_PIK3CA	PRAD	WOSecondM	1	19	45	311
SPOP_IDH1	PRAD	WithSecondM	1	1	1	4
SPOP_IDH1	PRAD	WOSecondM	1	19	46	312
SPOP_FOXA1	PRAD	WithSecondM	1	2	4	11
SPOP_FOXA1	PRAD	WOSecondM	1	18	43	305
SPOP_PTEN	PRAD	WithSecondM	1	1	2	12
SPOP_PTEN	PRAD	WOSecondM	1	19	45	304
SPOP_MED12	PRAD	WithSecondM	1	1	1	5
SPOP_MED12	PRAD	WOSecondM	1	19	46	311
SPOP_AKT1	PRAD	WithSecondM	1	1	1	4
SPOP_AKT1	PRAD	WOSecondM	1	19	46	312
SPOP_BRAF	PRAD	WithSecondM	1	1	4	3
SPOP_BRAF	PRAD	WOSecondM	1	19	43	313
SPOP_APC	PRAD	WithSecondM	1	1	4	2
SPOP_APC	PRAD	WOSecondM	1	19	43	314
SPOP_KDM6A	PRAD	WithSecondM	1	2	1	6
SPOP_KDM6A	PRAD	WOSecondM	1	18	46	310
SPOP_HRAS	PRAD	WithSecondM	1	1	1	5
SPOP_HRAS	PRAD	WOSecondM	1	19	46	311
SPOP_CTNNB1	PRAD	WithSecondM	1	1	2	7
SPOP_CTNNB1	PRAD	WOSecondM	1	19	45	309
PIK3CA_ZMYM3	PRAD	WithSecondM	1	1	1	4
PIK3CA_ZMYM3	PRAD	WOSecondM	1	7	5	314
PIK3CA_TP53	PRAD	WithSecondM	1	2	3	35
PIK3CA_TP53	PRAD	WOSecondM	1	6	3	283
PIK3CA_KMT2D	PRAD	WithSecondM	1	2	1	13
PIK3CA_KMT2D	PRAD	WOSecondM	1	6	5	305
PIK3CA_SPOP	PRAD	WithSecondM	1	1	1	33
PIK3CA_SPOP	PRAD	WOSecondM	1	7	5	285
PIK3CA_IDH1	PRAD	WithSecondM	1	2	1	3
PIK3CA_IDH1	PRAD	WOSecondM	1	6	5	315
PIK3CA_FOXA1	PRAD	WithSecondM	1	1	1	9
PIK3CA_FOXA1	PRAD	WOSecondM	1	7	5	309
PIK3CA_PTEN	PRAD	WithSecondM	1	1	1	10
PIK3CA_PTEN	PRAD	WOSecondM	1	7	5	308
PIK3CA_MED12	PRAD	WithSecondM	1	1	1	5
PIK3CA_MED12	PRAD	WOSecondM	1	7	5	313
PIK3CA_AKT1	PRAD	WithSecondM	1	1	1	3
PIK3CA_AKT1	PRAD	WOSecondM	1	7	5	315
PIK3CA_BRAF	PRAD	WithSecondM	1	1	1	6
PIK3CA_BRAF	PRAD	WOSecondM	1	7	5	312
PIK3CA_APC	PRAD	WithSecondM	1	1	1	4
PIK3CA_APC	PRAD	WOSecondM	1	7	5	314
PIK3CA_KDM6A	PRAD	WithSecondM	1	1	1	7
PIK3CA_KDM6A	PRAD	WOSecondM	1	7	5	311
PIK3CA_HRAS	PRAD	WithSecondM	1	1	1	5
PIK3CA_HRAS	PRAD	WOSecondM	1	7	5	313
PIK3CA_CTNNB1	PRAD	WithSecondM	1	1	2	6
PIK3CA_CTNNB1	PRAD	WOSecondM	1	7	4	312
IDH1_ZMYM3	PRAD	WithSecondM	1	1	1	4
IDH1_ZMYM3	PRAD	WOSecondM	1	21	4	361
IDH1_TP53	PRAD	WithSecondM	1	6	1	45
IDH1_TP53	PRAD	WOSecondM	1	16	4	320
IDH1_KMT2D	PRAD	WithSecondM	1	2	1	14
IDH1_KMT2D	PRAD	WOSecondM	1	20	4	351
IDH1_SPOP	PRAD	WithSecondM	1	4	1	43
IDH1_SPOP	PRAD	WOSecondM	1	18	4	322
IDH1_PIK3CA	PRAD	WithSecondM	1	1	1	5
IDH1_PIK3CA	PRAD	WOSecondM	1	21	4	360
IDH1_FOXA1	PRAD	WithSecondM	1	1	1	15
IDH1_FOXA1	PRAD	WOSecondM	1	21	4	350
IDH1_PTEN	PRAD	WithSecondM	1	1	1	14
IDH1_PTEN	PRAD	WOSecondM	1	21	4	351
IDH1_MED12	PRAD	WithSecondM	1	1	1	6
IDH1_MED12	PRAD	WOSecondM	1	21	4	359
IDH1_AKT1	PRAD	WithSecondM	1	1	1	4
IDH1_AKT1	PRAD	WOSecondM	1	21	4	361
IDH1_BRAF	PRAD	WithSecondM	1	1	1	6
IDH1_BRAF	PRAD	WOSecondM	1	21	4	359
IDH1_APC	PRAD	WithSecondM	1	1	1	5
IDH1_APC	PRAD	WOSecondM	1	21	4	360
IDH1_KDM6A	PRAD	WithSecondM	1	2	1	6
IDH1_KDM6A	PRAD	WOSecondM	1	20	4	359
IDH1_HRAS	PRAD	WithSecondM	1	1	1	5
IDH1_HRAS	PRAD	WOSecondM	1	21	4	360
IDH1_CTNNB1	PRAD	WithSecondM	1	1	2	6
IDH1_CTNNB1	PRAD	WOSecondM	1	21	3	359
FOXA1_ZMYM3	PRAD	WithSecondM	1	1	1	3
FOXA1_ZMYM3	PRAD	WOSecondM	1	29	15	327
FOXA1_TP53	PRAD	WithSecondM	1	10	2	34
FOXA1_TP53	PRAD	WOSecondM	1	20	14	296
FOXA1_KMT2D	PRAD	WithSecondM	1	3	1	11
FOXA1_KMT2D	PRAD	WOSecondM	1	27	15	319
FOXA1_SPOP	PRAD	WithSecondM	1	1	4	40
FOXA1_SPOP	PRAD	WOSecondM	1	29	12	290
FOXA1_PIK3CA	PRAD	WithSecondM	1	1	1	5
FOXA1_PIK3CA	PRAD	WOSecondM	1	29	15	325
FOXA1_IDH1	PRAD	WithSecondM	1	2	1	3
FOXA1_IDH1	PRAD	WOSecondM	1	28	15	327
FOXA1_PTEN	PRAD	WithSecondM	1	2	1	13
FOXA1_PTEN	PRAD	WOSecondM	1	28	15	317
FOXA1_MED12	PRAD	WithSecondM	1	1	1	6
FOXA1_MED12	PRAD	WOSecondM	1	29	15	324
FOXA1_AKT1	PRAD	WithSecondM	1	1	1	3
FOXA1_AKT1	PRAD	WOSecondM	1	29	15	327
FOXA1_BRAF	PRAD	WithSecondM	1	1	1	6
FOXA1_BRAF	PRAD	WOSecondM	1	29	15	324
FOXA1_APC	PRAD	WithSecondM	1	1	2	5
FOXA1_APC	PRAD	WOSecondM	1	29	14	325
FOXA1_KDM6A	PRAD	WithSecondM	1	2	1	5
