Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
CTNNB1_BRAF	SKCM	WithSecondM	1	24	6	93
CTNNB1_BRAF	SKCM	WOSecondM	3	31	5	107
CTNNB1_GNA11	SKCM	WithSecondM	1	1	1	5
CTNNB1_GNA11	SKCM	WOSecondM	3	54	10	195
MAP2K1_HRAS	SKCM	WithSecondM	1	2	1	1
MAP2K1_HRAS	SKCM	WOSecondM	7	73	12	201
MAP2K1_CTNNB1	SKCM	WithSecondM	2	2	1	11
MAP2K1_CTNNB1	SKCM	WOSecondM	6	73	12	191
MAP2K1_MECOM	SKCM	WithSecondM	1	3	1	2
MAP2K1_MECOM	SKCM	WOSecondM	7	72	12	200
MAP2K1_NRAS	SKCM	WithSecondM	3	19	3	63
MAP2K1_NRAS	SKCM	WOSecondM	5	56	10	139
MAP2K1_RB1	SKCM	WithSecondM	1	2	1	9
MAP2K1_RB1	SKCM	WOSecondM	7	73	12	193
MAP2K1_PPP6C	SKCM	WithSecondM	1	8	1	7
MAP2K1_PPP6C	SKCM	WOSecondM	7	67	12	195
MAP2K1_NF1	SKCM	WithSecondM	1	8	1	14
MAP2K1_NF1	SKCM	WOSecondM	7	67	12	188
MAP2K1_CDKN2A	SKCM	WithSecondM	2	13	3	22
MAP2K1_CDKN2A	SKCM	WOSecondM	6	62	10	180
MAP2K1_DDX3X	SKCM	WithSecondM	1	7	2	9
MAP2K1_DDX3X	SKCM	WOSecondM	7	68	11	193
MAP2K1_RQCD1	SKCM	WithSecondM	1	4	1	6
MAP2K1_RQCD1	SKCM	WOSecondM	7	71	12	196
MAP2K1_RAC1	SKCM	WithSecondM	1	3	1	13
MAP2K1_RAC1	SKCM	WOSecondM	7	72	12	189
MAP2K1_ARID2	SKCM	WithSecondM	1	6	1	19
MAP2K1_ARID2	SKCM	WOSecondM	7	69	12	183
MAP2K1_IDH1	SKCM	WithSecondM	4	2	1	10
MAP2K1_IDH1	SKCM	WOSecondM	4	73	12	192
MAP2K1_COL5A1	SKCM	WithSecondM	1	3	1	5
MAP2K1_COL5A1	SKCM	WOSecondM	7	72	12	197
MAP2K1_DACH1	SKCM	WithSecondM	1	3	1	3
MAP2K1_DACH1	SKCM	WOSecondM	7	72	12	199
MAP2K1_BRD7	SKCM	WithSecondM	1	3	1	3
MAP2K1_BRD7	SKCM	WOSecondM	7	72	12	199
MAP2K1_KRAS	SKCM	WithSecondM	1	1	1	6
MAP2K1_KRAS	SKCM	WOSecondM	7	74	12	196
MAP2K1_TP53	SKCM	WithSecondM	1	12	2	19
MAP2K1_TP53	SKCM	WOSecondM	7	63	11	183
MAP2K1_KIT	SKCM	WithSecondM	1	4	1	10
MAP2K1_KIT	SKCM	WOSecondM	7	71	12	192
MAP2K1_PTEN	SKCM	WithSecondM	1	6	2	18
MAP2K1_PTEN	SKCM	WOSecondM	7	69	11	184
MAP2K1_CDK4	SKCM	WithSecondM	1	2	1	9
MAP2K1_CDK4	SKCM	WOSecondM	7	73	12	193
MAP2K1_BRAF	SKCM	WithSecondM	4	46	8	99
MAP2K1_BRAF	SKCM	WOSecondM	4	29	5	103
MAP2K1_GNA11	SKCM	WithSecondM	1	2	1	5
MAP2K1_GNA11	SKCM	WOSecondM	7	73	12	197
MECOM_HRAS	SKCM	WithSecondM	1	2	1	2
MECOM_HRAS	SKCM	WOSecondM	2	65	3	210
MECOM_CTNNB1	SKCM	WithSecondM	1	3	1	11
MECOM_CTNNB1	SKCM	WOSecondM	2	64	3	201
MECOM_MAP2K1	SKCM	WithSecondM	1	8	1	10
MECOM_MAP2K1	SKCM	WOSecondM	2	59	3	202
MECOM_NRAS	SKCM	WithSecondM	1	22	1	71
MECOM_NRAS	SKCM	WOSecondM	2	45	3	141
MECOM_RB1	SKCM	WithSecondM	1	2	1	8
MECOM_RB1	SKCM	WOSecondM	2	65	3	204
MECOM_PPP6C	SKCM	WithSecondM	1	6	1	8
MECOM_PPP6C	SKCM	WOSecondM	2	61	3	204
MECOM_NF1	SKCM	WithSecondM	1	9	1	12
MECOM_NF1	SKCM	WOSecondM	2	58	3	200
MECOM_CDKN2A	SKCM	WithSecondM	1	13	1	26
MECOM_CDKN2A	SKCM	WOSecondM	2	54	3	186
MECOM_DDX3X	SKCM	WithSecondM	2	6	1	9
MECOM_DDX3X	SKCM	WOSecondM	1	61	3	203
MECOM_RQCD1	SKCM	WithSecondM	1	1	1	8
MECOM_RQCD1	SKCM	WOSecondM	2	66	3	204
MECOM_RAC1	SKCM	WithSecondM	1	3	1	13
MECOM_RAC1	SKCM	WOSecondM	2	64	3	199
MECOM_ARID2	SKCM	WithSecondM	1	4	3	17
MECOM_ARID2	SKCM	WOSecondM	2	63	1	195
MECOM_IDH1	SKCM	WithSecondM	1	2	1	12
MECOM_IDH1	SKCM	WOSecondM	2	65	3	200
MECOM_COL5A1	SKCM	WithSecondM	1	2	1	6
MECOM_COL5A1	SKCM	WOSecondM	2	65	3	206
MECOM_DACH1	SKCM	WithSecondM	1	2	1	4
MECOM_DACH1	SKCM	WOSecondM	2	65	3	208
MECOM_BRD7	SKCM	WithSecondM	1	2	2	4
MECOM_BRD7	SKCM	WOSecondM	2	65	2	208
MECOM_KRAS	SKCM	WithSecondM	1	1	1	6
MECOM_KRAS	SKCM	WOSecondM	2	66	3	206
MECOM_TP53	SKCM	WithSecondM	2	12	1	24
MECOM_TP53	SKCM	WOSecondM	1	55	3	188
MECOM_KIT	SKCM	WithSecondM	1	2	2	9
MECOM_KIT	SKCM	WOSecondM	2	65	2	203
MECOM_PTEN	SKCM	WithSecondM	1	7	1	18
MECOM_PTEN	SKCM	WOSecondM	2	60	3	194
MECOM_CDK4	SKCM	WithSecondM	1	3	1	8
MECOM_CDK4	SKCM	WOSecondM	2	64	3	204
MECOM_BRAF	SKCM	WithSecondM	2	35	3	103
MECOM_BRAF	SKCM	WOSecondM	1	32	1	109
MECOM_GNA11	SKCM	WithSecondM	1	2	1	3
