Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
CTNNB1_BRAF	SKCM	WithSecondM	5	42	7	92
CTNNB1_BRAF	SKCM	WOSecondM	1	20	5	107
CTNNB1_GNA11	SKCM	WithSecondM	1	2	1	7
CTNNB1_GNA11	SKCM	WOSecondM	5	60	11	192
MAP2K1_HRAS	SKCM	WithSecondM	1	2	1	1
MAP2K1_HRAS	SKCM	WOSecondM	2	35	12	201
MAP2K1_CTNNB1	SKCM	WithSecondM	1	3	1	11
MAP2K1_CTNNB1	SKCM	WOSecondM	2	34	12	191
MAP2K1_MECOM	SKCM	WithSecondM	1	6	4	34
MAP2K1_MECOM	SKCM	WOSecondM	2	31	9	168
MAP2K1_NRAS	SKCM	WithSecondM	2	18	3	61
MAP2K1_NRAS	SKCM	WOSecondM	1	19	10	141
MAP2K1_RB1	SKCM	WithSecondM	1	3	1	8
MAP2K1_RB1	SKCM	WOSecondM	2	34	12	194
MAP2K1_PPP6C	SKCM	WithSecondM	1	2	2	11
MAP2K1_PPP6C	SKCM	WOSecondM	2	35	11	191
MAP2K1_NF1	SKCM	WithSecondM	1	2	1	22
MAP2K1_NF1	SKCM	WOSecondM	2	35	12	180
MAP2K1_CDKN2A	SKCM	WithSecondM	1	5	3	22
MAP2K1_CDKN2A	SKCM	WOSecondM	2	32	10	180
MAP2K1_DDX3X	SKCM	WithSecondM	2	2	2	10
MAP2K1_DDX3X	SKCM	WOSecondM	1	35	11	192
MAP2K1_RQCD1	SKCM	WithSecondM	1	3	1	6
MAP2K1_RQCD1	SKCM	WOSecondM	2	34	12	196
MAP2K1_RAC1	SKCM	WithSecondM	1	3	1	13
MAP2K1_RAC1	SKCM	WOSecondM	2	34	12	189
MAP2K1_ARID2	SKCM	WithSecondM	1	4	1	24
MAP2K1_ARID2	SKCM	WOSecondM	2	33	12	178
MAP2K1_IDH1	SKCM	WithSecondM	1	3	1	11
MAP2K1_IDH1	SKCM	WOSecondM	2	34	12	191
MAP2K1_COL5A1	SKCM	WithSecondM	2	6	5	32
MAP2K1_COL5A1	SKCM	WOSecondM	1	31	8	170
MAP2K1_DACH1	SKCM	WithSecondM	1	1	3	15
MAP2K1_DACH1	SKCM	WOSecondM	2	36	10	187
MAP2K1_BRD7	SKCM	WithSecondM	1	3	1	4
MAP2K1_BRD7	SKCM	WOSecondM	2	34	12	198
MAP2K1_KRAS	SKCM	WithSecondM	1	1	1	6
MAP2K1_KRAS	SKCM	WOSecondM	2	36	12	196
MAP2K1_TP53	SKCM	WithSecondM	2	10	2	19
MAP2K1_TP53	SKCM	WOSecondM	1	27	11	183
MAP2K1_KIT	SKCM	WithSecondM	1	2	2	9
MAP2K1_KIT	SKCM	WOSecondM	2	35	11	193
MAP2K1_PTEN	SKCM	WithSecondM	1	5	2	19
MAP2K1_PTEN	SKCM	WOSecondM	2	32	11	183
MAP2K1_CDK4	SKCM	WithSecondM	1	3	1	8
MAP2K1_CDK4	SKCM	WOSecondM	2	34	12	194
MAP2K1_BRAF	SKCM	WithSecondM	1	13	8	98
MAP2K1_BRAF	SKCM	WOSecondM	2	24	5	104
MAP2K1_GNA11	SKCM	WithSecondM	1	1	1	6
MAP2K1_GNA11	SKCM	WOSecondM	2	36	12	196
MECOM_HRAS	SKCM	WithSecondM	1	1	1	2
MECOM_HRAS	SKCM	WOSecondM	7	41	39	174
MECOM_CTNNB1	SKCM	WithSecondM	2	2	4	9
MECOM_CTNNB1	SKCM	WOSecondM	6	40	36	167
MECOM_MAP2K1	SKCM	WithSecondM	2	2	3	8
MECOM_MAP2K1	SKCM	WOSecondM	6	40	37	168
MECOM_NRAS	SKCM	WithSecondM	1	11	17	54
MECOM_NRAS	SKCM	WOSecondM	7	31	23	122
MECOM_RB1	SKCM	WithSecondM	1	4	4	4
MECOM_RB1	SKCM	WOSecondM	7	38	36	172
MECOM_PPP6C	SKCM	WithSecondM	2	2	3	10
MECOM_PPP6C	SKCM	WOSecondM	6	40	37	166
MECOM_NF1	SKCM	WithSecondM	1	4	6	14
MECOM_NF1	SKCM	WOSecondM	7	38	34	162
MECOM_CDKN2A	SKCM	WithSecondM	1	4	4	23
MECOM_CDKN2A	SKCM	WOSecondM	7	38	36	153
MECOM_DDX3X	SKCM	WithSecondM	1	2	6	6
MECOM_DDX3X	SKCM	WOSecondM	7	40	34	170
MECOM_RQCD1	SKCM	WithSecondM	2	3	1	8
MECOM_RQCD1	SKCM	WOSecondM	6	39	39	168
MECOM_RAC1	SKCM	WithSecondM	1	2	4	11
MECOM_RAC1	SKCM	WOSecondM	7	40	36	165
MECOM_ARID2	SKCM	WithSecondM	2	5	7	16
MECOM_ARID2	SKCM	WOSecondM	6	37	33	160
MECOM_IDH1	SKCM	WithSecondM	2	3	4	9
MECOM_IDH1	SKCM	WOSecondM	6	39	36	167
MECOM_COL5A1	SKCM	WithSecondM	2	6	11	28
MECOM_COL5A1	SKCM	WOSecondM	6	36	29	148
MECOM_DACH1	SKCM	WithSecondM	1	3	7	12
MECOM_DACH1	SKCM	WOSecondM	7	39	33	164
MECOM_BRD7	SKCM	WithSecondM	1	2	2	4
MECOM_BRD7	SKCM	WOSecondM	7	40	38	172
MECOM_KRAS	SKCM	WithSecondM	1	1	2	5
MECOM_KRAS	SKCM	WOSecondM	7	41	38	171
MECOM_TP53	SKCM	WithSecondM	2	6	7	18
MECOM_TP53	SKCM	WOSecondM	6	36	33	158
MECOM_KIT	SKCM	WithSecondM	1	4	2	6
MECOM_KIT	SKCM	WOSecondM	7	38	38	170
MECOM_PTEN	SKCM	WithSecondM	2	3	6	14
MECOM_PTEN	SKCM	WOSecondM	6	39	34	162
MECOM_CDK4	SKCM	WithSecondM	2	2	2	6
MECOM_CDK4	SKCM	WOSecondM	6	40	38	170
MECOM_BRAF	SKCM	WithSecondM	6	21	20	86
MECOM_BRAF	SKCM	WOSecondM	2	21	20	90
MECOM_GNA11	SKCM	WithSecondM	1	3	1	4
MECOM_GNA11	SKCM	WOSecondM	7	39	39	172
NRAS_HRAS	SKCM	WithSecondM	1	1	2	2
NRAS_HRAS	SKCM	WOSecondM	9	59	51	133
NRAS_CTNNB1	SKCM	WithSecondM	1	5	4	9
NRAS_CTNNB1	SKCM	WOSecondM	9	55	49	126
