Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
CDKN2A_EGFR	LUAD	WithSecondM	1	26	3	9
CDKN2A_EGFR	LUAD	WOSecondM	9	130	3	125
CDKN2A_RB1	LUAD	WithSecondM	1	6	1	6
CDKN2A_RB1	LUAD	WOSecondM	9	150	5	128
CDKN2A_STK11	LUAD	WithSecondM	3	26	1	24
CDKN2A_STK11	LUAD	WOSecondM	7	130	5	110
CDKN2A_MET	LUAD	WithSecondM	1	5	1	4
CDKN2A_MET	LUAD	WOSecondM	9	151	5	130
CDKN2A_RBM10	LUAD	WithSecondM	2	4	2	12
CDKN2A_RBM10	LUAD	WOSecondM	8	152	4	122
CDKN2A_BRAF	LUAD	WithSecondM	1	9	2	16
CDKN2A_BRAF	LUAD	WOSecondM	9	147	4	118
CDKN2A_NF1	LUAD	WithSecondM	1	10	2	12
CDKN2A_NF1	LUAD	WOSecondM	9	146	4	122
CDKN2A_SETD2	LUAD	WithSecondM	1	9	1	12
CDKN2A_SETD2	LUAD	WOSecondM	9	147	5	122
CDKN2A_SMARCA4	LUAD	WithSecondM	3	9	1	5
CDKN2A_SMARCA4	LUAD	WOSecondM	7	147	5	129
CDKN2A_KRAS	LUAD	WithSecondM	4	49	1	47
CDKN2A_KRAS	LUAD	WOSecondM	6	107	5	87
TP53_CTNNB1	LUAD	WithSecondM	3	1	1	7
TP53_CTNNB1	LUAD	WOSecondM	111	84	51	120
TP53_MGA	LUAD	WithSecondM	3	3	2	6
TP53_MGA	LUAD	WOSecondM	111	82	50	121
TP53_CDKN2A	LUAD	WithSecondM	7	1	4	3
TP53_CDKN2A	LUAD	WOSecondM	107	84	48	124
TP53_KEAP1	LUAD	WithSecondM	7	7	7	26
TP53_KEAP1	LUAD	WOSecondM	107	78	45	101
TP53_U2AF1	LUAD	WithSecondM	6	5	2	3
TP53_U2AF1	LUAD	WOSecondM	108	80	50	124
TP53_PIK3CA	LUAD	WithSecondM	5	3	2	7
TP53_PIK3CA	LUAD	WOSecondM	109	82	50	120
TP53_ARID1A	LUAD	WithSecondM	6	4	2	3
TP53_ARID1A	LUAD	WOSecondM	108	81	50	124
TP53_ATM	LUAD	WithSecondM	1	15	2	5
TP53_ATM	LUAD	WOSecondM	113	70	50	122
TP53_EGFR	LUAD	WithSecondM	20	13	7	8
TP53_EGFR	LUAD	WOSecondM	94	72	45	119
TP53_RB1	LUAD	WithSecondM	8	2	3	2
TP53_RB1	LUAD	WOSecondM	106	83	49	125
TP53_STK11	LUAD	WithSecondM	13	15	6	31
TP53_STK11	LUAD	WOSecondM	101	70	46	96
TP53_MET	LUAD	WithSecondM	1	7	2	3
TP53_MET	LUAD	WOSecondM	113	78	50	124
TP53_RBM10	LUAD	WithSecondM	6	5	1	15
TP53_RBM10	LUAD	WOSecondM	108	80	51	112
TP53_BRAF	LUAD	WithSecondM	10	2	5	14
TP53_BRAF	LUAD	WOSecondM	104	83	47	113
TP53_NF1	LUAD	WithSecondM	13	5	8	5
TP53_NF1	LUAD	WOSecondM	101	80	44	122
TP53_SETD2	LUAD	WithSecondM	4	8	4	10
TP53_SETD2	LUAD	WOSecondM	110	77	48	117
TP53_SMARCA4	LUAD	WithSecondM	7	6	4	5
TP53_SMARCA4	LUAD	WOSecondM	107	79	48	122
