Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
CDKN1B_GATA3	BRCA	WithSecondM	1	6	1	64
CDKN1B_GATA3	BRCA	WOSecondM	2	165	6	461
CDKN1B_KRAS	BRCA	WithSecondM	1	1	1	5
CDKN1B_KRAS	BRCA	WOSecondM	2	170	6	520
CDKN1B_TP53	BRCA	WithSecondM	1	83	2	115
CDKN1B_TP53	BRCA	WOSecondM	2	88	5	410
CDKN1B_TBX3	BRCA	WithSecondM	1	3	2	12
CDKN1B_TBX3	BRCA	WOSecondM	2	168	5	513
CDKN1B_ERBB2	BRCA	WithSecondM	1	2	1	9
CDKN1B_ERBB2	BRCA	WOSecondM	2	169	6	516
CDKN1B_ARID1A	BRCA	WithSecondM	1	4	1	13
CDKN1B_ARID1A	BRCA	WOSecondM	2	167	6	512
CDKN1B_CASP8	BRCA	WithSecondM	1	3	2	4
CDKN1B_CASP8	BRCA	WOSecondM	2	168	5	521
CDKN1B_FOXA1	BRCA	WithSecondM	1	1	1	21
CDKN1B_FOXA1	BRCA	WOSecondM	2	170	6	504
CDKN1B_PTEN	BRCA	WithSecondM	2	6	1	27
CDKN1B_PTEN	BRCA	WOSecondM	1	165	6	498
CDKN1B_RUNX1	BRCA	WithSecondM	1	6	1	17
CDKN1B_RUNX1	BRCA	WOSecondM	2	165	6	508
CDKN1B_CTCF	BRCA	WithSecondM	1	1	2	9
CDKN1B_CTCF	BRCA	WOSecondM	2	170	5	516
SF3B1_BRCA1	BRCA	WithSecondM	1	4	1	9
SF3B1_BRCA1	BRCA	WOSecondM	2	83	13	573
SF3B1_CDKN1B	BRCA	WithSecondM	1	1	1	6
SF3B1_CDKN1B	BRCA	WOSecondM	2	86	13	576
SF3B1_AKT1	BRCA	WithSecondM	1	4	2	19
SF3B1_AKT1	BRCA	WOSecondM	2	83	12	563
SF3B1_MAP2K4	BRCA	WithSecondM	1	3	2	18
SF3B1_MAP2K4	BRCA	WOSecondM	2	84	12	564
SF3B1_NCOR1	BRCA	WithSecondM	1	3	1	17
SF3B1_NCOR1	BRCA	WOSecondM	2	84	13	565
SF3B1_GPS2	BRCA	WithSecondM	1	2	1	8
SF3B1_GPS2	BRCA	WOSecondM	2	85	13	574
SF3B1_CHD4	BRCA	WithSecondM	1	2	1	9
SF3B1_CHD4	BRCA	WOSecondM	2	85	13	573
SF3B1_PIK3CA	BRCA	WithSecondM	2	15	7	188
SF3B1_PIK3CA	BRCA	WOSecondM	1	72	7	394
SF3B1_MAP3K1	BRCA	WithSecondM	1	1	2	41
SF3B1_MAP3K1	BRCA	WOSecondM	2	86	12	541
SF3B1_RB1	BRCA	WithSecondM	1	3	1	11
SF3B1_RB1	BRCA	WOSecondM	2	84	13	571
SF3B1_CBFB	BRCA	WithSecondM	1	1	1	7
SF3B1_CBFB	BRCA	WOSecondM	2	86	13	575
SF3B1_NF1	BRCA	WithSecondM	1	3	1	14
SF3B1_NF1	BRCA	WOSecondM	2	84	13	568
SF3B1_CDH1	BRCA	WithSecondM	1	6	4	72
SF3B1_CDH1	BRCA	WOSecondM	2	81	10	510
SF3B1_FBXW7	BRCA	WithSecondM	1	3	1	5
SF3B1_FBXW7	BRCA	WOSecondM	2	84	13	577
SF3B1_KMT2C	BRCA	WithSecondM	1	3	2	38
SF3B1_KMT2C	BRCA	WOSecondM	2	84	12	544
SF3B1_PIK3R1	BRCA	WithSecondM	1	3	1	15
SF3B1_PIK3R1	BRCA	WOSecondM	2	84	13	567
SF3B1_GATA3	BRCA	WithSecondM	1	4	2	70
SF3B1_GATA3	BRCA	WOSecondM	2	83	12	512
SF3B1_KRAS	BRCA	WithSecondM	1	2	1	3
SF3B1_KRAS	BRCA	WOSecondM	2	85	13	579
SF3B1_TP53	BRCA	WithSecondM	2	54	3	137
SF3B1_TP53	BRCA	WOSecondM	1	33	11	445
SF3B1_TBX3	BRCA	WithSecondM	1	2	1	15
SF3B1_TBX3	BRCA	WOSecondM	2	85	13	567
SF3B1_ERBB2	BRCA	WithSecondM	1	3	1	11
SF3B1_ERBB2	BRCA	WOSecondM	2	84	13	571
SF3B1_ARID1A	BRCA	WithSecondM	1	3	1	17
SF3B1_ARID1A	BRCA	WOSecondM	2	84	13	565
SF3B1_CASP8	BRCA	WithSecondM	1	4	1	7
SF3B1_CASP8	BRCA	WOSecondM	2	83	13	575
SF3B1_FOXA1	BRCA	WithSecondM	1	1	1	20
SF3B1_FOXA1	BRCA	WOSecondM	2	86	13	562
SF3B1_PTEN	BRCA	WithSecondM	1	11	3	20
SF3B1_PTEN	BRCA	WOSecondM	2	76	11	562
SF3B1_RUNX1	BRCA	WithSecondM	1	5	2	20
SF3B1_RUNX1	BRCA	WOSecondM	2	82	12	562
SF3B1_CTCF	BRCA	WithSecondM	1	2	1	10
SF3B1_CTCF	BRCA	WOSecondM	2	85	13	572
AKT1_BRCA1	BRCA	WithSecondM	2	5	1	6
