Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
HLA-A_HRAS	HNSC	WOSecondM	4	81	9	306
HLA-A_FBXW7	HNSC	WithSecondM	1	6	1	26
HLA-A_FBXW7	HNSC	WOSecondM	4	76	14	303
HLA-A_TGFBR2	HNSC	WithSecondM	1	2	4	18
HLA-A_TGFBR2	HNSC	WOSecondM	4	80	11	311
HLA-A_CDKN2A	HNSC	WithSecondM	2	16	4	68
HLA-A_CDKN2A	HNSC	WOSecondM	3	66	11	261
HLA-A_KMT2D	HNSC	WithSecondM	1	11	4	45
HLA-A_KMT2D	HNSC	WOSecondM	4	71	11	284
HLA-A_ARID2	HNSC	WithSecondM	1	4	3	11
HLA-A_ARID2	HNSC	WOSecondM	4	78	12	318
HLA-A_ZNF750	HNSC	WithSecondM	1	5	1	10
HLA-A_ZNF750	HNSC	WOSecondM	4	77	14	319
HLA-A_RHOA	HNSC	WithSecondM	1	1	1	9
HLA-A_RHOA	HNSC	WOSecondM	4	81	14	320
HLA-A_EP300	HNSC	WithSecondM	1	7	4	21
HLA-A_EP300	HNSC	WOSecondM	4	75	11	308
HLA-A_RASA1	HNSC	WithSecondM	1	3	1	11
HLA-A_RASA1	HNSC	WOSecondM	4	79	14	318
HLA-A_TP53	HNSC	WithSecondM	3	63	9	206
HLA-A_TP53	HNSC	WOSecondM	2	19	6	123
HLA-A_NOTCH1	HNSC	WithSecondM	1	12	4	59
HLA-A_NOTCH1	HNSC	WOSecondM	4	70	11	270
HLA-A_CASP8	HNSC	WithSecondM	1	2	8	36
HLA-A_CASP8	HNSC	WOSecondM	4	80	7	293
HLA-A_PTEN	HNSC	WithSecondM	1	2	1	9
HLA-A_PTEN	HNSC	WOSecondM	4	80	14	320
HLA-A_FAT1	HNSC	WithSecondM	1	17	10	73
HLA-A_FAT1	HNSC	WOSecondM	4	65	5	256
HLA-A_CYLD	HNSC	WithSecondM	1	4	1	9
HLA-A_CYLD	HNSC	WOSecondM	4	78	14	320
HLA-A_RAC1	HNSC	WithSecondM	1	4	2	10
HLA-A_RAC1	HNSC	WOSecondM	4	78	13	319
HLA-A_PIK3CA	HNSC	WithSecondM	1	11	3	64
HLA-A_PIK3CA	HNSC	WOSecondM	4	71	12	265
HLA-A_NSD1	HNSC	WithSecondM	1	9	2	35
HLA-A_NSD1	HNSC	WOSecondM	4	73	13	294
HLA-A_FLNA	HNSC	WithSecondM	1	3	2	12
HLA-A_FLNA	HNSC	WOSecondM	4	79	13	317
HLA-A_CUL3	HNSC	WithSecondM	1	4	1	10
HLA-A_CUL3	HNSC	WOSecondM	4	78	14	319
HUWE1_HLA-B	HNSC	WithSecondM	1	6	7	8
HUWE1_HLA-B	HNSC	WOSecondM	6	116	27	287
HUWE1_HLA-A	HNSC	WithSecondM	1	2	5	12
HUWE1_HLA-A	HNSC	WOSecondM	6	120	29	283
HUWE1_EPHA2	HNSC	WithSecondM	1	3	5	14
